"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 802,12.5,12.5,12.5,,12.5,12.5,37.5,12.5,37.5,50,12.5,50,,37.5,50,50,25,112.5,25,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 804,,,35.71428571,35.71428571,71.42857143,,,35.71428571,,35.71428571,35.71428571,,,,71.42857143,35.71428571,35.71428571,71.42857143,107.1428571,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 806,,12.04819277,24.09638554,24.09638554,12.04819277,48.19277108,12.04819277,24.09638554,24.09638554,36.14457831,36.14457831,36.14457831,36.14457831,12.04819277,36.14457831,24.09638554,12.04819277,60.24096386,48.19277108,24.09638554
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 810,,153.8461538,,,,115.3846154,76.92307692,38.46153846,38.46153846,76.92307692,,76.92307692,,38.46153846,38.46153846,,115.3846154,,,38.46153846
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 814,29.85074627,29.85074627,,44.7761194,,29.85074627,29.85074627,44.7761194,74.62686567,44.7761194,59.70149254,59.70149254,59.70149254,14.92537313,59.70149254,14.92537313,44.7761194,44.7761194,,44.7761194
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 816,17.24137931,,34.48275862,17.24137931,86.20689655,68.96551724,68.96551724,17.24137931,34.48275862,68.96551724,34.48275862,120.6896552,68.96551724,51.72413793,103.4482759,120.6896552,120.6896552,103.4482759,68.96551724,51.72413793
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 818,,,45.45454545,45.45454545,90.90909091,45.45454545,45.45454545,45.45454545,,,90.90909091,,,,,45.45454545,,45.45454545,,45.45454545
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 820,,,,,,,133.3333333,,,66.66666667,133.3333333,66.66666667,,,66.66666667,66.66666667,133.3333333,66.66666667,,66.66666667
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 822,,,,,,,,,55.55555556,111.1111111,166.6666667,55.55555556,55.55555556,111.1111111,55.55555556,,,,111.1111111,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 824,,40.81632653,20.40816327,,40.81632653,61.2244898,40.81632653,61.2244898,61.2244898,102.0408163,40.81632653,81.63265306,40.81632653,,40.81632653,40.81632653,61.2244898,61.2244898,81.63265306,40.81632653
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 826,31.25,46.875,,,15.625,31.25,,46.875,46.875,15.625,31.25,,15.625,62.5,109.375,78.125,78.125,62.5,31.25,15.625
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 828,38.46153846,38.46153846,38.46153846,,,38.46153846,76.92307692,,38.46153846,76.92307692,76.92307692,,76.92307692,,76.92307692,38.46153846,38.46153846,115.3846154,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 830,,74.62686567,29.85074627,44.7761194,59.70149254,29.85074627,44.7761194,14.92537313,59.70149254,74.62686567,119.4029851,29.85074627,14.92537313,74.62686567,89.55223881,89.55223881,89.55223881,29.85074627,44.7761194,29.85074627
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 832,36.58536585,24.3902439,97.56097561,48.7804878,121.9512195,60.97560976,60.97560976,73.17073171,24.3902439,73.17073171,36.58536585,36.58536585,24.3902439,24.3902439,97.56097561,24.3902439,73.17073171,121.9512195,24.3902439,36.58536585
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 834,47.61904762,59.52380952,35.71428571,59.52380952,107.1428571,35.71428571,23.80952381,71.42857143,35.71428571,23.80952381,47.61904762,23.80952381,59.52380952,35.71428571,107.1428571,47.61904762,59.52380952,59.52380952,107.1428571,35.71428571
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 836,15.38461538,,,15.38461538,30.76923077,,,30.76923077,15.38461538,30.76923077,,15.38461538,30.76923077,61.53846154,46.15384615,15.38461538,61.53846154,30.76923077,15.38461538,15.38461538
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 838,69.76744186,46.51162791,69.76744186,34.88372093,104.6511628,46.51162791,116.2790698,116.2790698,69.76744186,81.39534884,104.6511628,46.51162791,46.51162791,81.39534884,127.9069767,69.76744186,58.13953488,104.6511628,46.51162791,58.13953488
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 840,37.97468354,75.94936709,25.3164557,37.97468354,37.97468354,50.63291139,12.65822785,50.63291139,37.97468354,139.2405063,63.29113924,101.2658228,75.94936709,37.97468354,126.5822785,75.94936709,101.2658228,126.5822785,101.2658228,12.65822785
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 842,14.49275362,14.49275362,28.98550725,43.47826087,,43.47826087,57.97101449,14.49275362,14.49275362,,14.49275362,,14.49275362,14.49275362,14.49275362,,43.47826087,57.97101449,43.47826087,28.98550725
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 844,,37.03703704,,37.03703704,111.1111111,37.03703704,,,148.1481481,,,111.1111111,,37.03703704,,,,,37.03703704,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 846,26.31578947,52.63157895,65.78947368,65.78947368,13.15789474,52.63157895,26.31578947,13.15789474,26.31578947,39.47368421,65.78947368,39.47368421,39.47368421,65.78947368,65.78947368,52.63157895,39.47368421,52.63157895,52.63157895,26.31578947
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 848,61.53846154,76.92307692,46.15384615,15.38461538,92.30769231,76.92307692,61.53846154,15.38461538,76.92307692,61.53846154,92.30769231,61.53846154,107.6923077,46.15384615,76.92307692,92.30769231,30.76923077,107.6923077,123.0769231,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 850,47.61904762,31.74603175,47.61904762,15.87301587,111.1111111,15.87301587,63.49206349,47.61904762,31.74603175,79.36507937,31.74603175,15.87301587,15.87301587,15.87301587,79.36507937,111.1111111,126.984127,47.61904762,63.49206349,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 854,,18.86792453,,18.86792453,18.86792453,75.47169811,18.86792453,18.86792453,18.86792453,75.47169811,37.73584906,37.73584906,56.60377358,18.86792453,75.47169811,56.60377358,56.60377358,113.2075472,37.73584906,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 856,16.39344262,32.78688525,32.78688525,49.18032787,16.39344262,81.96721311,32.78688525,81.96721311,49.18032787,49.18032787,32.78688525,81.96721311,49.18032787,65.57377049,49.18032787,81.96721311,49.18032787,16.39344262,32.78688525,16.39344262
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 858,74.62686567,44.7761194,29.85074627,29.85074627,29.85074627,14.92537313,44.7761194,29.85074627,59.70149254,74.62686567,59.70149254,44.7761194,104.4776119,29.85074627,119.4029851,134.3283582,74.62686567,119.4029851,104.4776119,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 860,45.45454545,60.60606061,30.3030303,121.2121212,60.60606061,75.75757576,45.45454545,30.3030303,45.45454545,45.45454545,75.75757576,15.15151515,90.90909091,15.15151515,121.2121212,90.90909091,45.45454545,121.2121212,90.90909091,60.60606061
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 862,37.03703704,74.07407407,37.03703704,18.51851852,,,55.55555556,74.07407407,55.55555556,55.55555556,55.55555556,,37.03703704,37.03703704,37.03703704,74.07407407,37.03703704,92.59259259,111.1111111,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 864,51.72413793,34.48275862,17.24137931,17.24137931,17.24137931,,68.96551724,17.24137931,34.48275862,,51.72413793,86.20689655,17.24137931,51.72413793,17.24137931,51.72413793,51.72413793,34.48275862,34.48275862,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 866,27.77777778,55.55555556,27.77777778,,55.55555556,27.77777778,27.77777778,27.77777778,55.55555556,,,27.77777778,,27.77777778,27.77777778,27.77777778,27.77777778,55.55555556,27.77777778,27.77777778
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 868,30.3030303,30.3030303,30.3030303,30.3030303,,,30.3030303,,,,30.3030303,,30.3030303,30.3030303,,60.60606061,,30.3030303,90.90909091,90.90909091
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 870,,66.66666667,22.22222222,,22.22222222,22.22222222,44.44444444,22.22222222,44.44444444,22.22222222,44.44444444,44.44444444,44.44444444,88.88888889,44.44444444,66.66666667,66.66666667,66.66666667,22.22222222,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 872,16.39344262,16.39344262,16.39344262,16.39344262,32.78688525,65.57377049,49.18032787,81.96721311,32.78688525,81.96721311,147.5409836,98.36065574,49.18032787,98.36065574,114.7540984,114.7540984,114.7540984,32.78688525,49.18032787,16.39344262
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 874.01,,,24.3902439,,24.3902439,24.3902439,24.3902439,48.7804878,,,48.7804878,24.3902439,24.3902439,24.3902439,48.7804878,24.3902439,24.3902439,97.56097561,24.3902439,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 876,,31.74603175,15.87301587,,95.23809524,31.74603175,15.87301587,15.87301587,15.87301587,31.74603175,15.87301587,47.61904762,,15.87301587,31.74603175,47.61904762,31.74603175,15.87301587,79.36507937,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 880,,,,,27.02702703,27.02702703,,,27.02702703,27.02702703,,27.02702703,27.02702703,54.05405405,54.05405405,27.02702703,81.08108108,,54.05405405,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 882,,30.3030303,15.15151515,30.3030303,,15.15151515,,30.3030303,60.60606061,,,15.15151515,,60.60606061,30.3030303,45.45454545,45.45454545,45.45454545,,15.15151515
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 886,95.23809524,,,47.61904762,,47.61904762,47.61904762,,47.61904762,47.61904762,,47.61904762,95.23809524,,95.23809524,,,95.23809524,47.61904762,47.61904762
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 888,,,27.02702703,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 894,,,23.52941176,23.52941176,11.76470588,23.52941176,11.76470588,23.52941176,,47.05882353,23.52941176,58.82352941,70.58823529,35.29411765,47.05882353,35.29411765,47.05882353,70.58823529,35.29411765,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 898,,28.57142857,28.57142857,14.28571429,,14.28571429,42.85714286,,28.57142857,71.42857143,57.14285714,42.85714286,14.28571429,14.28571429,,14.28571429,71.42857143,28.57142857,28.57142857,42.85714286
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 900,36.14457831,12.04819277,12.04819277,24.09638554,,,24.09638554,,12.04819277,24.09638554,24.09638554,24.09638554,12.04819277,24.09638554,12.04819277,,36.14457831,36.14457831,12.04819277,12.04819277
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 902,14.92537313,,14.92537313,14.92537313,14.92537313,14.92537313,7.462686567,,22.3880597,44.7761194,7.462686567,29.85074627,22.3880597,14.92537313,74.62686567,22.3880597,82.08955224,97.01492537,52.23880597,14.92537313
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 904,,40,,,40,40,,,,,120,40,,40,160,,40,,120,40
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 906,,,,,,,,,,,,,,,,,1000,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 914,,,,15.87301587,31.74603175,31.74603175,15.87301587,15.87301587,47.61904762,15.87301587,31.74603175,15.87301587,31.74603175,31.74603175,31.74603175,63.49206349,31.74603175,79.36507937,79.36507937,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 916,,,,,,,,,,,20.83333333,,20.83333333,,,20.83333333,41.66666667,20.83333333,,20.83333333
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 918,7.874015748,7.874015748,7.874015748,31.49606299,15.7480315,7.874015748,39.37007874,7.874015748,47.24409449,23.62204724,31.49606299,31.49606299,31.49606299,39.37007874,39.37007874,39.37007874,70.86614173,55.11811024,55.11811024,31.49606299
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 920,8.928571429,,,17.85714286,8.928571429,17.85714286,,,35.71428571,17.85714286,35.71428571,17.85714286,44.64285714,53.57142857,80.35714286,44.64285714,116.0714286,71.42857143,17.85714286,17.85714286
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 928,50,,,,,,,,,,,,,50,50,100,50,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 930,15.38461538,30.76923077,30.76923077,15.38461538,61.53846154,46.15384615,15.38461538,15.38461538,30.76923077,,30.76923077,61.53846154,15.38461538,,46.15384615,61.53846154,46.15384615,,30.76923077,15.38461538
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 934,29.85074627,7.462686567,14.92537313,22.3880597,37.31343284,7.462686567,7.462686567,,7.462686567,,7.462686567,14.92537313,22.3880597,29.85074627,29.85074627,7.462686567,22.3880597,52.23880597,22.3880597,14.92537313
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 936,14.28571429,14.28571429,,14.28571429,14.28571429,42.85714286,28.57142857,14.28571429,28.57142857,28.57142857,14.28571429,71.42857143,,71.42857143,42.85714286,42.85714286,,28.57142857,28.57142857,14.28571429
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 938,17.24137931,,,34.48275862,34.48275862,17.24137931,,17.24137931,,17.24137931,17.24137931,34.48275862,17.24137931,34.48275862,34.48275862,17.24137931,51.72413793,,17.24137931,17.24137931
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 940,,19.60784314,,39.21568627,,,58.82352941,,39.21568627,19.60784314,,78.43137255,,19.60784314,19.60784314,98.03921569,39.21568627,58.82352941,39.21568627,58.82352941
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 942,71.42857143,,,,,,71.42857143,,,,,,71.42857143,71.42857143,71.42857143,71.42857143,142.8571429,71.42857143,142.8571429,71.42857143
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 944.01,23.80952381,23.80952381,,11.9047619,23.80952381,11.9047619,11.9047619,35.71428571,,35.71428571,23.80952381,23.80952381,11.9047619,,11.9047619,47.61904762,11.9047619,59.52380952,23.80952381,23.80952381
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 950,,,,18.18181818,54.54545455,,,54.54545455,,18.18181818,18.18181818,,,,54.54545455,18.18181818,90.90909091,18.18181818,54.54545455,18.18181818
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 954,,29.41176471,,,,,29.41176471,,,58.82352941,29.41176471,29.41176471,29.41176471,29.41176471,,29.41176471,29.41176471,58.82352941,58.82352941,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 956,,,,25.64102564,,25.64102564,,,,102.5641026,25.64102564,,,,25.64102564,76.92307692,,51.28205128,76.92307692,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 958,,11.62790698,,,,,11.62790698,,23.25581395,34.88372093,11.62790698,46.51162791,11.62790698,58.13953488,58.13953488,23.25581395,93.02325581,11.62790698,11.62790698,23.25581395
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 962,,18.18181818,18.18181818,18.18181818,36.36363636,36.36363636,54.54545455,18.18181818,36.36363636,36.36363636,18.18181818,36.36363636,18.18181818,36.36363636,54.54545455,54.54545455,90.90909091,18.18181818,,18.18181818
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 964,20.83333333,,20.83333333,20.83333333,41.66666667,,83.33333333,62.5,,20.83333333,20.83333333,41.66666667,,20.83333333,83.33333333,83.33333333,125,83.33333333,62.5,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 966,32.78688525,,16.39344262,,16.39344262,49.18032787,16.39344262,32.78688525,49.18032787,65.57377049,81.96721311,49.18032787,49.18032787,65.57377049,65.57377049,49.18032787,98.36065574,131.147541,16.39344262,16.39344262
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 968,,,22.22222222,22.22222222,44.44444444,44.44444444,,44.44444444,44.44444444,88.88888889,66.66666667,66.66666667,66.66666667,44.44444444,66.66666667,111.1111111,133.3333333,44.44444444,88.88888889,
