"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",786,13.15789474,78.94736842,105.2631579,39.47368421,39.47368421,105.2631579,105.2631579,65.78947368,65.78947368,65.78947368,39.47368421,118.4210526,78.94736842,78.94736842,78.94736842,92.10526316,92.10526316,223.6842105,118.4210526,26.31578947
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",788,24.69135802,61.72839506,24.69135802,61.72839506,12.34567901,24.69135802,61.72839506,61.72839506,98.7654321,160.4938272,49.38271605,111.1111111,24.69135802,123.4567901,111.1111111,123.4567901,135.8024691,148.1481481,98.7654321,86.41975309
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",790,48.7804878,73.17073171,36.58536585,121.9512195,109.7560976,85.36585366,48.7804878,73.17073171,121.9512195,60.97560976,36.58536585,36.58536585,36.58536585,109.7560976,134.1463415,170.7317073,170.7317073,170.7317073,121.9512195,48.7804878
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",792,38.83495146,77.66990291,67.96116505,58.25242718,77.66990291,77.66990291,48.54368932,48.54368932,67.96116505,145.631068,97.08737864,29.12621359,87.37864078,48.54368932,155.3398058,97.08737864,174.7572816,155.3398058,97.08737864,38.83495146
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",794,40,40,40,50,60,10,70,60,20,50,40,30,70,40,170,80,80,120,70,50
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",796,60,30,10,30,90,50,40,20,20,80,50,60,40,30,60,80,80,70,90,10
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",798,43.79562044,36.49635036,29.19708029,43.79562044,36.49635036,21.89781022,43.79562044,14.59854015,43.79562044,21.89781022,51.09489051,29.19708029,21.89781022,29.19708029,29.19708029,21.89781022,7.299270073,43.79562044,14.59854015,14.59854015
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",800,32.60869565,43.47826087,43.47826087,76.08695652,76.08695652,43.47826087,76.08695652,43.47826087,43.47826087,32.60869565,43.47826087,108.6956522,21.73913043,32.60869565,173.9130435,54.34782609,108.6956522,86.95652174,43.47826087,43.47826087
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",802,21.05263158,10.52631579,31.57894737,31.57894737,52.63157895,21.05263158,42.10526316,21.05263158,42.10526316,52.63157895,31.57894737,115.7894737,31.57894737,63.15789474,94.73684211,73.68421053,42.10526316,136.8421053,52.63157895,21.05263158
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",804,72.28915663,60.24096386,60.24096386,48.19277108,108.4337349,36.14457831,,72.28915663,60.24096386,72.28915663,72.28915663,12.04819277,36.14457831,72.28915663,132.5301205,60.24096386,168.6746988,120.4819277,180.7228916,48.19277108
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",806,56.17977528,44.94382022,44.94382022,22.47191011,33.70786517,67.41573034,22.47191011,56.17977528,67.41573034,56.17977528,67.41573034,67.41573034,67.41573034,89.88764045,78.65168539,101.1235955,123.5955056,101.1235955,134.8314607,22.47191011
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",810,38.46153846,51.28205128,12.82051282,,38.46153846,64.1025641,76.92307692,51.28205128,51.28205128,51.28205128,,51.28205128,25.64102564,51.28205128,89.74358974,89.74358974,128.2051282,76.92307692,64.1025641,51.28205128
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",814,51.28205128,51.28205128,,128.2051282,51.28205128,76.92307692,115.3846154,115.3846154,141.025641,102.5641026,102.5641026,141.025641,102.5641026,64.1025641,192.3076923,89.74358974,153.8461538,205.1282051,102.5641026,76.92307692
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",816,28.57142857,57.14285714,42.85714286,14.28571429,85.71428571,85.71428571,142.8571429,14.28571429,71.42857143,85.71428571,42.85714286,100,85.71428571,71.42857143,142.8571429,200,185.7142857,157.1428571,185.7142857,42.85714286
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",818,12.82051282,,25.64102564,38.46153846,38.46153846,12.82051282,12.82051282,51.28205128,51.28205128,38.46153846,76.92307692,12.82051282,38.46153846,25.64102564,115.3846154,38.46153846,76.92307692,76.92307692,64.1025641,51.28205128
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",820,32.25806452,32.25806452,32.25806452,16.12903226,16.12903226,32.25806452,64.51612903,32.25806452,32.25806452,16.12903226,96.77419355,32.25806452,32.25806452,32.25806452,64.51612903,80.64516129,64.51612903,48.38709677,48.38709677,32.25806452
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",822,12.19512195,36.58536585,24.3902439,12.19512195,12.19512195,12.19512195,12.19512195,24.3902439,36.58536585,60.97560976,73.17073171,60.97560976,36.58536585,73.17073171,48.7804878,48.7804878,36.58536585,24.3902439,60.97560976,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",824,26.31578947,70.1754386,8.771929825,26.31578947,87.71929825,61.40350877,26.31578947,96.49122807,87.71929825,96.49122807,140.3508772,96.49122807,114.0350877,70.1754386,87.71929825,96.49122807,192.9824561,184.2105263,140.3508772,52.63157895
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",826,34.09090909,90.90909091,68.18181818,45.45454545,56.81818182,90.90909091,56.81818182,113.6363636,79.54545455,102.2727273,79.54545455,45.45454545,125,125,250,238.6363636,284.0909091,159.0909091,170.4545455,34.09090909
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",828,83.33333333,31.25,31.25,41.66666667,62.5,52.08333333,114.5833333,,31.25,83.33333333,31.25,31.25,31.25,41.66666667,104.1666667,52.08333333,125,145.8333333,114.5833333,31.25
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",830,23.25581395,69.76744186,34.88372093,58.13953488,81.39534884,116.2790698,69.76744186,23.25581395,69.76744186,81.39534884,127.9069767,58.13953488,58.13953488,104.6511628,139.5348837,139.5348837,197.6744186,139.5348837,93.02325581,46.51162791
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",832,47.61904762,83.33333333,119.047619,83.33333333,190.4761905,119.047619,71.42857143,119.047619,47.61904762,107.1428571,95.23809524,35.71428571,71.42857143,71.42857143,130.952381,119.047619,119.047619,154.7619048,130.952381,47.61904762
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",834,46.51162791,69.76744186,116.2790698,81.39534884,151.1627907,58.13953488,23.25581395,81.39534884,34.88372093,93.02325581,58.13953488,34.88372093,93.02325581,46.51162791,139.5348837,81.39534884,127.9069767,93.02325581,127.9069767,93.02325581
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",836,29.41176471,19.60784314,58.82352941,68.62745098,98.03921569,39.21568627,29.41176471,58.82352941,49.01960784,68.62745098,88.23529412,39.21568627,58.82352941,88.23529412,68.62745098,78.43137255,166.6666667,58.82352941,68.62745098,49.01960784
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",838,114.9425287,91.95402299,91.95402299,91.95402299,103.4482759,91.95402299,160.9195402,126.4367816,103.4482759,114.9425287,195.4022989,68.96551724,80.45977011,91.95402299,183.908046,114.9425287,137.9310345,137.9310345,91.95402299,68.96551724
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",840,47.05882353,117.6470588,23.52941176,70.58823529,105.8823529,58.82352941,58.82352941,94.11764706,47.05882353,152.9411765,82.35294118,117.6470588,70.58823529,82.35294118,152.9411765,117.6470588,117.6470588,164.7058824,105.8823529,11.76470588
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",842,33.70786517,101.1235955,22.47191011,56.17977528,33.70786517,44.94382022,89.88764045,33.70786517,22.47191011,22.47191011,33.70786517,22.47191011,22.47191011,56.17977528,44.94382022,44.94382022,89.88764045,78.65168539,44.94382022,56.17977528
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",844,,22.22222222,,22.22222222,66.66666667,22.22222222,,,111.1111111,,,66.66666667,,22.22222222,,,,22.22222222,22.22222222,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",846,66.66666667,88.88888889,77.77777778,77.77777778,33.33333333,77.77777778,66.66666667,11.11111111,66.66666667,44.44444444,77.77777778,77.77777778,88.88888889,100,155.5555556,77.77777778,66.66666667,144.4444444,77.77777778,77.77777778
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",848,57.14285714,71.42857143,71.42857143,42.85714286,171.4285714,85.71428571,100,28.57142857,100,85.71428571,100,114.2857143,114.2857143,71.42857143,128.5714286,100,57.14285714,171.4285714,157.1428571,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",850,43.47826087,57.97101449,101.4492754,43.47826087,144.9275362,72.46376812,144.9275362,72.46376812,43.47826087,130.4347826,57.97101449,28.98550725,28.98550725,28.98550725,159.4202899,159.4202899,159.4202899,159.4202899,115.942029,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",854,49.38271605,86.41975309,24.69135802,49.38271605,49.38271605,86.41975309,49.38271605,49.38271605,24.69135802,135.8024691,61.72839506,111.1111111,123.4567901,135.8024691,185.1851852,123.4567901,160.4938272,172.8395062,123.4567901,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",856,48.7804878,73.17073171,36.58536585,97.56097561,60.97560976,85.36585366,73.17073171,97.56097561,73.17073171,73.17073171,85.36585366,121.9512195,85.36585366,85.36585366,134.1463415,134.1463415,158.5365854,134.1463415,97.56097561,48.7804878
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",858,184.2105263,118.4210526,65.78947368,65.78947368,105.2631579,105.2631579,65.78947368,78.94736842,92.10526316,131.5789474,118.4210526,78.94736842,131.5789474,144.7368421,171.0526316,197.3684211,263.1578947,223.6842105,171.0526316,26.31578947
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",860,81.08108108,94.59459459,40.54054054,121.6216216,94.59459459,135.1351351,67.56756757,27.02702703,54.05405405,108.1081081,94.59459459,67.56756757,94.59459459,121.6216216,229.7297297,162.1621622,121.6216216,175.6756757,175.6756757,81.08108108
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",862,44.7761194,89.55223881,59.70149254,59.70149254,44.7761194,29.85074627,89.55223881,149.2537313,119.4029851,74.62686567,74.62686567,29.85074627,104.4776119,74.62686567,119.4029851,194.0298507,119.4029851,179.1044776,208.9552239,29.85074627
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",864,48.19277108,96.38554217,96.38554217,36.14457831,36.14457831,24.09638554,96.38554217,48.19277108,144.5783133,48.19277108,96.38554217,108.4337349,24.09638554,84.3373494,84.3373494,96.38554217,144.5783133,120.4819277,96.38554217,24.09638554
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",866,64.93506494,90.90909091,51.94805195,25.97402597,64.93506494,129.8701299,77.92207792,64.93506494,90.90909091,129.8701299,155.8441558,51.94805195,90.90909091,129.8701299,77.92207792,220.7792208,272.7272727,103.8961039,142.8571429,77.92207792
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",868,123.2876712,82.19178082,54.79452055,68.49315068,68.49315068,82.19178082,41.09589041,41.09589041,54.79452055,95.89041096,54.79452055,41.09589041,68.49315068,123.2876712,136.9863014,150.6849315,178.0821918,82.19178082,205.4794521,95.89041096
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",870,28.98550725,86.95652174,14.49275362,28.98550725,57.97101449,101.4492754,57.97101449,43.47826087,57.97101449,130.4347826,72.46376812,72.46376812,57.97101449,86.95652174,101.4492754,115.942029,231.884058,144.9275362,72.46376812,28.98550725
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",872,29.85074627,119.4029851,59.70149254,44.7761194,74.62686567,104.4776119,89.55223881,104.4776119,44.7761194,149.2537313,253.7313433,134.3283582,119.4029851,134.3283582,179.1044776,238.8059701,208.9552239,104.4776119,89.55223881,59.70149254
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",874.01,23.80952381,59.52380952,35.71428571,23.80952381,47.61904762,71.42857143,59.52380952,59.52380952,59.52380952,35.71428571,71.42857143,71.42857143,71.42857143,71.42857143,178.5714286,107.1428571,130.952381,130.952381,130.952381,23.80952381
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",876,10,30,10,30,100,70,30,30,10,40,20,30,10,50,60,60,70,70,70,40
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",878,27.77777778,13.88888889,13.88888889,41.66666667,55.55555556,41.66666667,55.55555556,13.88888889,55.55555556,27.77777778,69.44444444,41.66666667,,97.22222222,83.33333333,83.33333333,97.22222222,111.1111111,69.44444444,27.77777778
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",880,15.38461538,7.692307692,15.38461538,15.38461538,46.15384615,46.15384615,15.38461538,23.07692308,30.76923077,30.76923077,30.76923077,61.53846154,38.46153846,61.53846154,61.53846154,76.92307692,61.53846154,100,84.61538462,15.38461538
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",882,16.39344262,32.78688525,49.18032787,32.78688525,57.37704918,57.37704918,40.98360656,49.18032787,90.16393443,32.78688525,32.78688525,65.57377049,98.36065574,106.557377,114.7540984,163.9344262,98.36065574,147.5409836,57.37704918,49.18032787
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",884,35.71428571,47.61904762,47.61904762,59.52380952,59.52380952,71.42857143,95.23809524,107.1428571,71.42857143,107.1428571,59.52380952,83.33333333,71.42857143,71.42857143,142.8571429,119.047619,202.3809524,178.5714286,130.952381,35.71428571
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",886,130.952381,59.52380952,59.52380952,83.33333333,47.61904762,83.33333333,59.52380952,23.80952381,47.61904762,59.52380952,71.42857143,35.71428571,95.23809524,47.61904762,119.047619,71.42857143,154.7619048,95.23809524,107.1428571,23.80952381
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",888,42.10526316,31.57894737,31.57894737,31.57894737,52.63157895,31.57894737,94.73684211,73.68421053,105.2631579,115.7894737,31.57894737,63.15789474,10.52631579,84.21052632,115.7894737,94.73684211,115.7894737,94.73684211,52.63157895,42.10526316
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",890,44.94382022,44.94382022,22.47191011,33.70786517,67.41573034,89.88764045,101.1235955,78.65168539,67.41573034,89.88764045,56.17977528,11.23595506,33.70786517,89.88764045,89.88764045,157.3033708,123.5955056,101.1235955,134.8314607,56.17977528
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",892,33.33333333,33.33333333,66.66666667,33.33333333,50,83.33333333,50,33.33333333,33.33333333,16.66666667,66.66666667,50,33.33333333,83.33333333,100,83.33333333,83.33333333,83.33333333,50,33.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",894,52.63157895,42.10526316,63.15789474,42.10526316,63.15789474,84.21052632,52.63157895,63.15789474,94.73684211,94.73684211,73.68421053,126.3157895,126.3157895,189.4736842,200,200,263.1578947,242.1052632,157.8947368,63.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",896,,26.31578947,26.31578947,13.15789474,92.10526316,92.10526316,65.78947368,78.94736842,65.78947368,65.78947368,52.63157895,92.10526316,118.4210526,118.4210526,131.5789474,184.2105263,197.3684211,105.2631579,105.2631579,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",898,33.33333333,66.66666667,33.33333333,66.66666667,44.44444444,111.1111111,77.77777778,22.22222222,55.55555556,100,144.4444444,155.5555556,111.1111111,44.44444444,155.5555556,88.88888889,233.3333333,222.2222222,144.4444444,100
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",900,72.58064516,32.25806452,16.12903226,40.32258065,32.25806452,32.25806452,32.25806452,48.38709677,24.19354839,48.38709677,64.51612903,32.25806452,32.25806452,32.25806452,104.8387097,88.70967742,153.2258065,153.2258065,48.38709677,32.25806452
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",902,22.05882353,7.352941176,14.70588235,22.05882353,22.05882353,22.05882353,22.05882353,7.352941176,29.41176471,51.47058824,7.352941176,29.41176471,29.41176471,29.41176471,102.9411765,51.47058824,88.23529412,110.2941176,58.82352941,22.05882353
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",904,,25,12.5,12.5,12.5,12.5,,12.5,12.5,,37.5,12.5,,12.5,75,12.5,75,62.5,112.5,25
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",906,,,,,33.33333333,33.33333333,,33.33333333,33.33333333,66.66666667,,,,,33.33333333,33.33333333,200,66.66666667,66.66666667,66.66666667
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",908,,,,,,,133.3333333,,,66.66666667,,,66.66666667,,200,333.3333333,,333.3333333,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",910,,,,,,,,,,,,,,,,,125,62.5,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",914,12.98701299,,12.98701299,12.98701299,25.97402597,25.97402597,12.98701299,12.98701299,38.96103896,12.98701299,25.97402597,12.98701299,25.97402597,25.97402597,25.97402597,64.93506494,25.97402597,77.92207792,77.92207792,25.97402597
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",916,21.05263158,21.05263158,10.52631579,42.10526316,42.10526316,42.10526316,52.63157895,94.73684211,42.10526316,73.68421053,73.68421053,73.68421053,73.68421053,105.2631579,168.4210526,189.4736842,189.4736842,210.5263158,63.15789474,42.10526316
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",918,7.874015748,7.874015748,15.7480315,31.49606299,15.7480315,7.874015748,39.37007874,7.874015748,47.24409449,23.62204724,31.49606299,39.37007874,31.49606299,39.37007874,47.24409449,39.37007874,70.86614173,55.11811024,55.11811024,31.49606299
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",920,16.80672269,,,16.80672269,16.80672269,33.61344538,8.403361345,16.80672269,33.61344538,25.21008403,67.22689076,16.80672269,58.82352941,58.82352941,92.43697479,67.22689076,134.4537815,92.43697479,33.61344538,25.21008403
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",922,34.48275862,17.24137931,17.24137931,,17.24137931,17.24137931,51.72413793,34.48275862,34.48275862,51.72413793,34.48275862,68.96551724,51.72413793,17.24137931,68.96551724,120.6896552,137.9310345,120.6896552,86.20689655,86.20689655
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",928,47.61904762,35.71428571,35.71428571,59.52380952,59.52380952,,83.33333333,47.61904762,23.80952381,95.23809524,35.71428571,23.80952381,11.9047619,119.047619,107.1428571,95.23809524,142.8571429,23.80952381,35.71428571,47.61904762
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",930,73.17073171,73.17073171,121.9512195,36.58536585,121.9512195,85.36585366,48.7804878,60.97560976,97.56097561,73.17073171,146.3414634,48.7804878,121.9512195,73.17073171,121.9512195,121.9512195,146.3414634,109.7560976,170.7317073,60.97560976
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",934,49.18032787,16.39344262,21.8579235,32.78688525,65.57377049,49.18032787,16.39344262,21.8579235,21.8579235,21.8579235,21.8579235,32.78688525,38.25136612,49.18032787,71.03825137,54.64480874,49.18032787,76.50273224,43.71584699,21.8579235
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",936,31.91489362,31.91489362,,42.55319149,31.91489362,42.55319149,74.46808511,53.19148936,42.55319149,42.55319149,53.19148936,74.46808511,10.63829787,138.2978723,106.3829787,85.10638298,63.82978723,53.19148936,63.82978723,42.55319149
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",938,49.38271605,,24.69135802,61.72839506,111.1111111,37.03703704,37.03703704,37.03703704,49.38271605,61.72839506,74.07407407,86.41975309,74.07407407,86.41975309,98.7654321,24.69135802,86.41975309,37.03703704,49.38271605,61.72839506
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",940,14.28571429,42.85714286,42.85714286,71.42857143,14.28571429,42.85714286,71.42857143,,71.42857143,14.28571429,42.85714286,85.71428571,114.2857143,42.85714286,85.71428571,171.4285714,114.2857143,185.7142857,71.42857143,85.71428571
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",942,27.02702703,,,13.51351351,27.02702703,27.02702703,27.02702703,27.02702703,13.51351351,40.54054054,27.02702703,13.51351351,67.56756757,40.54054054,54.05405405,54.05405405,94.59459459,67.56756757,54.05405405,27.02702703
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",944.01,61.64383562,27.39726027,20.54794521,54.79452055,47.94520548,20.54794521,34.24657534,27.39726027,47.94520548,34.24657534,13.69863014,34.24657534,27.39726027,41.09589041,13.69863014,61.64383562,68.49315068,102.739726,61.64383562,41.09589041
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",950,34.48275862,34.48275862,34.48275862,60.34482759,86.20689655,68.96551724,25.86206897,43.10344828,8.620689655,68.96551724,68.96551724,43.10344828,43.10344828,51.72413793,129.3103448,94.82758621,172.4137931,103.4482759,120.6896552,17.24137931
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",954,61.53846154,46.15384615,30.76923077,92.30769231,46.15384615,76.92307692,53.84615385,46.15384615,76.92307692,100,76.92307692,84.61538462,76.92307692,46.15384615,115.3846154,146.1538462,176.9230769,138.4615385,176.9230769,30.76923077
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",956,33.05785124,8.26446281,8.26446281,33.05785124,16.52892562,57.85123967,66.11570248,16.52892562,8.26446281,82.6446281,90.90909091,33.05785124,33.05785124,41.32231405,99.17355372,157.0247934,140.4958678,99.17355372,90.90909091,57.85123967
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",958,14.59854015,14.59854015,21.89781022,29.19708029,21.89781022,36.49635036,29.19708029,14.59854015,43.79562044,65.69343066,43.79562044,72.99270073,14.59854015,102.189781,94.89051095,102.189781,138.6861314,131.3868613,58.39416058,51.09489051
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",962,18.18181818,27.27272727,36.36363636,18.18181818,36.36363636,72.72727273,45.45454545,54.54545455,63.63636364,63.63636364,45.45454545,63.63636364,63.63636364,45.45454545,81.81818182,145.4545455,145.4545455,109.0909091,63.63636364,36.36363636
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",964,17.09401709,,8.547008547,34.18803419,25.64102564,42.73504274,68.37606838,42.73504274,51.28205128,85.47008547,68.37606838,68.37606838,51.28205128,85.47008547,136.7521368,128.2051282,205.1282051,153.8461538,153.8461538,42.73504274
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",966,34.09090909,,45.45454545,34.09090909,68.18181818,56.81818182,56.81818182,125,113.6363636,113.6363636,113.6363636,90.90909091,45.45454545,125,125,181.8181818,227.2727273,193.1818182,79.54545455,68.18181818
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",968,,,12.19512195,36.58536585,60.97560976,48.7804878,36.58536585,60.97560976,24.3902439,73.17073171,121.9512195,48.7804878,73.17073171,109.7560976,85.36585366,170.7317073,134.1463415,121.9512195,134.1463415,48.7804878
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",970,21.05263158,21.05263158,21.05263158,63.15789474,21.05263158,84.21052632,63.15789474,63.15789474,52.63157895,136.8421053,84.21052632,84.21052632,52.63157895,115.7894737,63.15789474,126.3157895,157.8947368,147.3684211,115.7894737,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",974,28.03738318,18.69158879,37.38317757,28.03738318,37.38317757,37.38317757,74.76635514,28.03738318,74.76635514,37.38317757,84.11214953,56.07476636,93.45794393,28.03738318,130.8411215,158.8785047,140.1869159,121.4953271,140.1869159,18.69158879
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",984,12.82051282,76.92307692,51.28205128,76.92307692,76.92307692,102.5641026,76.92307692,89.74358974,38.46153846,76.92307692,51.28205128,64.1025641,76.92307692,141.025641,128.2051282,166.6666667,256.4102564,64.1025641,153.8461538,89.74358974
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",986,75.94936709,63.29113924,63.29113924,50.63291139,113.9240506,50.63291139,139.2405063,88.60759494,63.29113924,88.60759494,88.60759494,101.2658228,75.94936709,189.8734177,164.556962,75.94936709,316.4556962,139.2405063,164.556962,63.29113924
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",988,36.14457831,36.14457831,36.14457831,48.19277108,,24.09638554,60.24096386,84.3373494,60.24096386,48.19277108,60.24096386,36.14457831,84.3373494,48.19277108,240.9638554,108.4337349,216.8674699,204.8192771,96.38554217,60.24096386
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",990,37.97468354,25.3164557,12.65822785,25.3164557,37.97468354,75.94936709,50.63291139,25.3164557,101.2658228,75.94936709,101.2658228,88.60759494,12.65822785,113.9240506,202.5316456,101.2658228,215.1898734,253.164557,113.9240506,63.29113924
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",992,,13.15789474,26.31578947,13.15789474,26.31578947,39.47368421,26.31578947,26.31578947,39.47368421,26.31578947,52.63157895,92.10526316,118.4210526,92.10526316,118.4210526,131.5789474,184.2105263,144.7368421,144.7368421,118.4210526
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",994,9.615384615,9.615384615,28.84615385,9.615384615,38.46153846,9.615384615,38.46153846,19.23076923,19.23076923,38.46153846,28.84615385,28.84615385,48.07692308,57.69230769,76.92307692,115.3846154,86.53846154,57.69230769,67.30769231,48.07692308
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",996,,22.72727273,7.575757576,30.3030303,22.72727273,45.45454545,90.90909091,83.33333333,68.18181818,53.03030303,136.3636364,60.60606061,53.03030303,121.2121212,151.5151515,75.75757576,159.0909091,189.3939394,189.3939394,60.60606061
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",998,20.2020202,20.2020202,20.2020202,90.90909091,70.70707071,80.80808081,151.5151515,121.2121212,50.50505051,141.4141414,131.3131313,141.4141414,30.3030303,80.80808081,111.1111111,141.4141414,202.020202,151.5151515,121.2121212,60.60606061
