"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",76,50.84745763,67.79661017,16.94915254,50.84745763,67.79661017,101.6949153,135.5932203,33.89830508,101.6949153,67.79661017,50.84745763,50.84745763,33.89830508,118.6440678,84.74576271,67.79661017,169.4915254,67.79661017,84.74576271,50.84745763
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",77,,,13.15789474,26.31578947,13.15789474,26.31578947,,13.15789474,13.15789474,13.15789474,26.31578947,,,,26.31578947,13.15789474,39.47368421,39.47368421,13.15789474,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",78,74.07407407,37.03703704,18.51851852,18.51851852,37.03703704,74.07407407,18.51851852,37.03703704,74.07407407,18.51851852,18.51851852,18.51851852,37.03703704,18.51851852,55.55555556,111.1111111,166.6666667,92.59259259,74.07407407,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",80,32.25806452,80.64516129,32.25806452,32.25806452,64.51612903,129.0322581,96.77419355,48.38709677,32.25806452,16.12903226,16.12903226,48.38709677,,32.25806452,16.12903226,80.64516129,80.64516129,32.25806452,64.51612903,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",82,65.57377049,16.39344262,49.18032787,16.39344262,32.78688525,65.57377049,16.39344262,32.78688525,49.18032787,32.78688525,,65.57377049,65.57377049,16.39344262,49.18032787,49.18032787,65.57377049,114.7540984,16.39344262,49.18032787
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",84,13.15789474,13.15789474,,13.15789474,26.31578947,39.47368421,13.15789474,26.31578947,13.15789474,,13.15789474,,,13.15789474,,26.31578947,39.47368421,52.63157895,52.63157895,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",88,24.09638554,,,12.04819277,12.04819277,,,,12.04819277,12.04819277,,24.09638554,12.04819277,,,24.09638554,36.14457831,36.14457831,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",90,,25.3164557,12.65822785,12.65822785,37.97468354,37.97468354,,,,12.65822785,12.65822785,,,12.65822785,25.3164557,25.3164557,25.3164557,,12.65822785,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",92,65.78947368,,13.15789474,13.15789474,26.31578947,26.31578947,,,26.31578947,26.31578947,13.15789474,13.15789474,26.31578947,13.15789474,,,13.15789474,26.31578947,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",94,12.82051282,51.28205128,,38.46153846,25.64102564,12.82051282,38.46153846,12.82051282,,12.82051282,,,38.46153846,12.82051282,12.82051282,,51.28205128,25.64102564,12.82051282,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",96,25.3164557,75.94936709,,50.63291139,37.97468354,75.94936709,25.3164557,25.3164557,25.3164557,25.3164557,63.29113924,,,25.3164557,37.97468354,75.94936709,101.2658228,25.3164557,63.29113924,25.3164557
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",98,58.82352941,11.76470588,23.52941176,23.52941176,23.52941176,23.52941176,11.76470588,58.82352941,11.76470588,11.76470588,23.52941176,,,23.52941176,11.76470588,23.52941176,35.29411765,47.05882353,23.52941176,11.76470588
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",100,,37.97468354,37.97468354,37.97468354,12.65822785,75.94936709,37.97468354,25.3164557,12.65822785,,12.65822785,12.65822785,12.65822785,,,63.29113924,12.65822785,,12.65822785,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",101,34.88372093,58.13953488,,11.62790698,34.88372093,34.88372093,69.76744186,46.51162791,58.13953488,69.76744186,46.51162791,58.13953488,81.39534884,69.76744186,93.02325581,23.25581395,69.76744186,69.76744186,81.39534884,11.62790698
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",102,24.69135802,,,61.72839506,12.34567901,,,,,,,,,,12.34567901,,12.34567901,,,12.34567901
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",104,14.49275362,,28.98550725,,,,14.49275362,,,14.49275362,14.49275362,14.49275362,,14.49275362,,,14.49275362,14.49275362,,14.49275362
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",106,,,,36.58536585,12.19512195,,24.3902439,,24.3902439,,,12.19512195,24.3902439,,12.19512195,12.19512195,24.3902439,,12.19512195,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",108,36.14457831,,,36.14457831,24.09638554,,,12.04819277,,24.09638554,12.04819277,12.04819277,24.09638554,,24.09638554,36.14457831,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",110,36.58536585,12.19512195,12.19512195,12.19512195,12.19512195,24.3902439,,,12.19512195,,12.19512195,,,,60.97560976,60.97560976,48.7804878,60.97560976,60.97560976,12.19512195
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",112,,30.3030303,15.15151515,30.3030303,30.3030303,15.15151515,,15.15151515,,,,,,15.15151515,15.15151515,60.60606061,90.90909091,75.75757576,30.3030303,45.45454545
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",114,,,,,12.82051282,12.82051282,,,12.82051282,25.64102564,12.82051282,,12.82051282,,12.82051282,12.82051282,115.3846154,64.1025641,12.82051282,25.64102564
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",116,22.98850575,,22.98850575,22.98850575,,,,11.49425287,,,,,11.49425287,11.49425287,45.97701149,,,22.98850575,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",117,81.08108108,121.6216216,27.02702703,27.02702703,40.54054054,108.1081081,27.02702703,54.05405405,40.54054054,27.02702703,,13.51351351,,40.54054054,135.1351351,67.56756757,54.05405405,27.02702703,54.05405405,13.51351351
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",118,,,,,,,14.49275362,,,,,,,,28.98550725,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",120,18.18181818,,,,,,,,,,,,,,,,18.18181818,,,18.18181818
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",121,37.97468354,50.63291139,50.63291139,,12.65822785,75.94936709,50.63291139,12.65822785,25.3164557,37.97468354,50.63291139,,25.3164557,37.97468354,50.63291139,37.97468354,37.97468354,12.65822785,37.97468354,
