CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
114,2004,3,14,36047011400,11219,10,16088,2716,84,2087,325,14,9,14,13,-0.17647,-0.222222,0.070806,-0.074074,-4,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,3,10,36047011400,11219,18,15897,2598,90,2100,333,10,24,15,15,-0.285714,0.111111,0.142234,-0.037037,8,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,3,18,36047011400,11219,6,15743,2620,70,2134,365,18,9,14,15,0.8,0.058823,0.112605,-0.017429,-12,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,3,6,36047011400,11219,8,15264,2524,62,2052,345,6,9,14,12,-0.666666,-0.571428,-0.050793,-0.133831,2,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,3,8,36047011400,11219,12,15736,2639,65,2214,372,8,9,9,12,0.333333,-0.2,0.155555,-0.237535,4,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,3,12,36047011400,11219,12,17856,2812,87,2730,447,12,13,10,12,0.5,-0.333333,0.055555,-0.368254,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,3,12,36047011400,11219,0,19224,3049,105,2922,427,12,25,15,13,0,1,0.277777,0.155555,-12,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2001,4,12,36047011400,11219,18,16366,2528,101,2046,325,12,18,18,18,0,0,0,0,6,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2002,4,18,36047011400,11219,8,16351,2633,82,2047,323,18,9,13,13,0.5,0,0.25,0,-10,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2003,4,8,36047011400,11219,20,16278,2775,72,2047,389,8,17,14,14,-0.555555,0,-0.018518,0,12,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2004,4,20,36047011400,11219,12,16088,2744,84,2087,357,20,14,13,14,1.5,0.666666,0.481481,0.222222,-8,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,4,12,36047011400,11219,10,15897,2639,90,2100,326,12,10,13,13,-0.4,-0.333333,0.181481,0.111111,-2,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,4,10,36047011400,11219,15,15743,2543,70,2134,335,10,18,14,13,-0.166666,0.25,0.311111,0.194444,5,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,4,15,36047011400,11219,7,15264,2502,62,2052,358,15,6,11,13,0.5,-0.25,-0.022222,-0.111111,-8,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,4,7,36047011400,11219,15,15736,2529,65,2214,363,7,8,10,11,-0.533333,-0.416666,-0.066666,-0.138888,8,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,4,15,36047011400,11219,18,17856,2848,87,2730,432,15,12,8,10,1.142857,0.5,0.369841,-0.055555,3,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,4,18,36047011400,11219,0,19224,2880,105,2922,466,18,12,10,11,0.2,0.2,0.269841,0.094444,-18,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2001,5,15,36047011400,11219,10,16366,2617,101,2046,342,15,12,12,12,0,0,0,0,-5,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2002,5,10,36047011400,11219,10,16351,2517,82,2047,332,10,18,15,15,-0.333333,0,-0.166666,0,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
