CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip,Y,NeighborCount,NeighborPreviousCount,NeighborPreviousThreeCount,NeighborOneYearPercentGrowth,NeighborOnYearGrowth,NeighborThreeYearPercentGrowth,NeighborThreeYearGrowth
22,2010,4,44,47,42,36,36,0.047619,2,0.222222,8,0.222222,8,36047002200,11220,0,215,232,202,-0.073276,-17,0.064356,13
22,2010,5,43,44,52,40,40,-0.173077,-9,0.075,3,0.075,3,36047002200,11220,0,224,215,202,0.04186,9,0.108911,22
30,2001,0,16,16,16,16,16,0,0,0,0,0,0,36047003000,11220,0,188,188,188,0,0,0,0
30,2001,1,11,16,11,11,11,0,0,0,0,0,0,36047003000,11220,0,207,207,207,0,0,0,0
30,2001,2,15,11,15,15,15,0,0,0,0,0,0,36047003000,11220,0,248,248,248,0,0,0,0
30,2001,3,21,15,21,21,21,0,0,0,0,0,0,36047003000,11220,0,214,214,214,0,0,0,0
30,2001,4,17,21,17,17,17,0,0,0,0,0,0,36047003000,11220,0,158,158,158,0,0,0,0
30,2001,5,16,17,16,16,16,0,0,0,0,0,0,36047003000,11220,0,188,188,188,0,0,0,0
30,2002,0,13,13,16,13,13,-0.1875,-3,0,0,0,0,36047003000,11220,1,183,188,183,-0.026596,-5,0,0
30,2002,1,16,13,11,16,16,0.454545,5,0,0,0,0,36047003000,11220,0,204,207,204,-0.014493,-3,0,0
30,2002,2,12,16,15,12,12,-0.2,-3,0,0,0,0,36047003000,11220,0,221,248,221,-0.108871,-27,0,0
30,2002,3,15,12,21,15,15,-0.285714,-6,0,0,0,0,36047003000,11220,1,242,214,242,0.130841,28,0,0
30,2002,4,18,15,17,18,18,0.058824,1,0,0,0,0,36047003000,11220,0,211,158,211,0.335443,53,0,0
30,2002,5,14,18,16,14,14,-0.125,-2,0,0,0,0,36047003000,11220,0,163,188,163,-0.132979,-25,0,0
30,2003,0,12,12,13,12,12,-0.076923,-1,0,0,0,0,36047003000,11220,0,192,183,192,0.04918,9,0,0
30,2003,1,12,12,16,12,12,-0.25,-4,0,0,0,0,36047003000,11220,1,207,204,207,0.014706,3,0,0
30,2003,2,17,12,12,17,17,0.416667,5,0,0,0,0,36047003000,11220,0,206,221,206,-0.067873,-15,0,0
30,2003,3,12,17,15,12,12,-0.2,-3,0,0,0,0,36047003000,11220,0,226,242,226,-0.066116,-16,0,0
30,2003,4,14,12,18,14,14,-0.222222,-4,0,0,0,0,36047003000,11220,1,238,211,238,0.127962,27,0,0
30,2003,5,16,14,14,16,16,0.142857,2,0,0,0,0,36047003000,11220,0,202,163,202,0.239264,39,0,0
30,2004,0,17,17,12,16,16,0.416667,5,0.0625,1,0.0625,1,36047003000,11220,0,189,192,188,-0.015625,-3,0.005319,1
30,2004,1,15,17,12,11,11,0.25,3,0.363636,4,0.363636,4,36047003000,11220,0,191,207,207,-0.077295,-16,-0.077295,-16
30,2004,2,13,15,17,15,15,-0.235294,-4,-0.133333,-2,-0.133333,-2,36047003000,11220,1,201,206,248,-0.024272,-5,-0.189516,-47
30,2004,3,19,13,12,21,21,0.583333,7,-0.095238,-2,-0.095238,-2,36047003000,11220,0,193,226,214,-0.146018,-33,-0.098131,-21
30,2004,4,10,19,14,17,17,-0.285714,-4,-0.411765,-7,-0.411765,-7,36047003000,11220,1,216,238,158,-0.092437,-22,0.367089,58
30,2004,5,12,10,16,16,16,-0.25,-4,-0.25,-4,-0.25,-4,36047003000,11220,1,217,202,188,0.074257,15,0.154255,29
30,2005,0,9,9,17,13,13,-0.470588,-8,-0.307692,-4,-0.307692,-4,36047003000,11220,1,188,189,183,-0.005291,-1,0.027322,5
30,2005,1,16,9,15,16,16,0.066667,1,0,0,0,0,36047003000,11220,0,203,191,204,0.062827,12,-0.004902,-1
30,2005,2,16,16,13,12,12,0.230769,3,0.333333,4,0.333333,4,36047003000,11220,0,186,201,221,-0.074627,-15,-0.158371,-35
30,2005,3,10,16,19,15,15,-0.473684,-9,-0.333333,-5,-0.333333,-5,36047003000,11220,1,198,193,242,0.025907,5,-0.181818,-44
30,2005,4,17,10,10,18,18,0.7,7,-0.055556,-1,-0.055556,-1,36047003000,11220,0,193,216,211,-0.106481,-23,-0.085308,-18
30,2005,5,10,17,12,14,14,-0.166667,-2,-0.285714,-4,-0.285714,-4,36047003000,11220,0,209,217,163,-0.036866,-8,0.282209,46
30,2006,0,16,16,9,12,12,0.777778,7,0.333333,4,0.333333,4,36047003000,11220,0,193,188,192,0.026596,5,0.005208,1
30,2006,1,4,16,16,12,12,-0.75,-12,-0.666667,-8,-0.666667,-8,36047003000,11220,1,205,203,207,0.009852,2,-0.009662,-2
30,2006,2,18,4,16,17,17,0.125,2,0.058824,1,0.058824,1,36047003000,11220,0,203,186,206,0.091398,17,-0.014563,-3
30,2006,3,13,18,10,12,12,0.3,3,0.083333,1,0.083333,1,36047003000,11220,0,180,198,226,-0.090909,-18,-0.20354,-46
