,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
14,112137,SACC,Registration ,1/11/2002 0:00,1/11/2016 0:00,1/10/2020 0:00,Brooklyn 20,200,200,40.621774,-73.987282,24400
15,112885,SACC,Pending Denial,5/16/2002 0:00,5/16/2012 0:00,5/15/2016 0:00,Brooklyn 20,200,200,40.611381,-73.99456,27400
16,113778,SACC,Registration ,10/7/2003 0:00,10/7/2015 0:00,10/6/2019 0:00,Brooklyn 20,16,16,40.634363,-74.007973,11800
17,115345,GFDC,License ,4/26/2002 0:00,4/26/2016 0:00,4/25/2020 0:00,Brooklyn 20,4,16,40.622552,-74.023598,14200
18,116967,SACC,Registration ,3/5/2002 0:00,3/5/2015 0:00,3/4/2019 0:00,Brooklyn 20,200,200,40.621975,-73.995165,25000
19,122967,SACC,Registration ,9/5/2002 0:00,9/5/2015 0:00,9/4/2019 0:00,Brooklyn 20,244,244,40.634196,-74.029191,6800
20,145691,SACC,Registration ,3/26/2003 0:00,3/26/2015 0:00,3/25/2019 0:00,Brooklyn 20,16,16,40.623895,-74.032268,6200
21,146029,GFDC,License ,3/18/2004 0:00,3/18/2016 0:00,3/17/2020 0:00,Brooklyn 20,4,16,40.607959,-73.984287,43000
22,154206,GFDC,License ,6/2/2005 0:00,6/2/2015 0:00,6/1/2019 0:00,Brooklyn 20,2,12,40.615649,-73.984704,25600
23,174254,GFDC,License ,2/25/2004 0:00,2/25/2016 0:00,2/24/2020 0:00,Brooklyn 20,4,16,40.64144523,-74.01637076,7400
24,177638,SACC,Registration ,4/6/2005 0:00,4/6/2015 0:00,4/5/2019 0:00,Brooklyn 20,212,212,40.630393,-74.019131,13400
25,190050,GFDC,License ,12/13/2004 0:00,12/13/2014 0:00,12/12/2018 0:00,Brooklyn 20,4,16,40.613142,-73.992728,26800
26,202928,GFDC,License ,8/11/2004 0:00,8/11/2014 0:00,8/10/2018 0:00,Brooklyn 20,4,16,40.609151,-74.014634,17000
27,209436,GFDC,License ,4/21/2005 0:00,4/21/2015 0:00,4/20/2019 0:00,Brooklyn 20,4,16,40.634684,-74.02629,6800
28,219796,GFDC,License ,3/14/2005 0:00,3/14/2015 0:00,3/13/2019 0:00,Brooklyn 20,2,14,40.607739,-73.990976,27000
29,229185,SACC,Registration ,10/25/2005 0:00,10/25/2015 0:00,10/24/2019 0:00,Brooklyn 20,220,220,40.626573,-74.015028,20600
30,232835,SACC,Registration ,4/12/2007 0:00,4/12/2015 0:00,4/11/2019 0:00,Brooklyn 20,76,76,40.607717,-73.984905,43000
31,234604,GFDC,License ,9/16/2005 0:00,9/16/2015 0:00,9/15/2019 0:00,Brooklyn 20,2,12,40.63518,-73.974715,48400
32,237329,FDC,Registration ,8/11/2006 0:00,8/11/2014 0:00,8/10/2018 0:00,Brooklyn 20,2,7,40.637957,-74.025777,7000
33,238212,GFDC,License ,3/7/2006 0:00,3/7/2016 0:00,3/6/2020 0:00,Brooklyn 20,4,16,40.640729,-74.020084,7200
34,239842,GFDC,License ,9/7/2006 0:00,9/7/2014 0:00,9/6/2018 0:00,Brooklyn 20,4,16,40.611509,-73.98725,26600
