Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,47,3,80800,0
Brooklyn,2000,47,3,81000,2444
Brooklyn,2000,47,3,81400,3080
Brooklyn,2000,47,3,81600,3011
Brooklyn,2000,47,3,81800,5253
Brooklyn,2000,47,3,82000,5392
Brooklyn,2000,47,3,82200,7463
Brooklyn,2000,47,3,82400,4448
Brooklyn,2000,47,3,82600,6051
Brooklyn,2000,47,3,82800,3985
Brooklyn,2000,47,3,83000,6563
Brooklyn,2000,47,3,83200,2563
Brooklyn,2000,47,3,83400,2132
Brooklyn,2000,47,3,83600,2186
Brooklyn,2000,47,3,83800,2521
Brooklyn,2000,47,3,84000,2512
Brooklyn,2000,47,3,84600,2164
Brooklyn,2000,47,3,84800,1792
Brooklyn,2000,47,3,85000,1435
Brooklyn,2000,47,3,85200,0
Brooklyn,2000,47,3,85400,2210
Brooklyn,2000,47,3,85600,3898
Brooklyn,2000,47,3,85800,2443
Brooklyn,2000,47,3,86000,3665
Brooklyn,2000,47,3,86200,3395
Brooklyn,2000,47,3,86400,2134
Brooklyn,2000,47,3,86600,3215
Brooklyn,2000,47,3,86800,3438
Brooklyn,2000,47,3,87000,3216
Brooklyn,2000,47,3,87200,3627
Brooklyn,2000,47,3,87401,3315
Brooklyn,2000,47,3,87600,1707
Brooklyn,2000,47,3,87800,3165
Brooklyn,2000,47,3,88000,2721
Brooklyn,2000,47,3,88200,6761
Brooklyn,2000,47,3,88400,5097
Brooklyn,2000,47,3,88600,4650
Brooklyn,2000,47,3,88800,4124
Brooklyn,2000,47,3,89000,6566
Brooklyn,2000,47,3,89200,4012
Brooklyn,2000,47,3,89400,3664
Brooklyn,2000,47,3,89600,3654
Brooklyn,2000,47,3,89800,1530
Brooklyn,2000,47,3,90000,5520
Brooklyn,2000,47,3,90200,4884
Brooklyn,2000,47,3,90600,4151
Brooklyn,2000,47,3,90800,3376
Brooklyn,2000,47,3,91000,5642
Brooklyn,2000,47,3,91200,7340
Brooklyn,2000,47,3,91600,4238
Brooklyn,2000,47,3,91800,2847
Brooklyn,2000,47,3,92000,2892
Brooklyn,2000,47,3,92200,2865
Brooklyn,2000,47,3,92400,2484
Brooklyn,2000,47,3,92800,2801
Brooklyn,2000,47,3,93000,2775
Brooklyn,2000,47,3,93200,1356
Brooklyn,2000,47,3,93400,2402
Brooklyn,2000,47,3,93600,1876
Brooklyn,2000,47,3,93800,2654
Brooklyn,2000,47,3,94401,3350
Brooklyn,2000,47,3,94402,2826
Brooklyn,2000,47,3,94600,2090
Brooklyn,2000,47,3,95000,3182
Brooklyn,2000,47,3,95400,4742
Brooklyn,2000,47,3,95600,3966
Brooklyn,2000,47,3,95800,3351
Brooklyn,2000,47,3,96000,3
Brooklyn,2000,47,3,96200,1674
Brooklyn,2000,47,3,96400,2161
Brooklyn,2000,47,3,96600,2128
Brooklyn,2000,47,3,96800,1395
Brooklyn,2000,47,3,97000,2078
Brooklyn,2000,47,3,97400,2599
Brooklyn,2000,47,3,98200,4542
Brooklyn,2000,47,3,98400,2066
Brooklyn,2000,47,3,98600,3128
Brooklyn,2000,47,3,98800,3074
Brooklyn,2000,47,3,99000,1531
Brooklyn,2000,47,3,99200,1847
Brooklyn,2000,47,3,99400,1930
Brooklyn,2000,47,3,99600,3875
Brooklyn,2000,47,3,99800,3736
Brooklyn,2000,47,3,100400,2779
Brooklyn,2000,47,3,100600,2581
Brooklyn,2000,47,3,100800,2087
Brooklyn,2000,47,3,101000,2155
Brooklyn,2000,47,3,101200,2016
Brooklyn,2000,47,3,101400,2189
