CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
22,2008,3,40,42,49,48,48,-0.183673,-9,-0.166667,-8,-0.166667,-8,36047002200,11220
22,2008,4,50,40,36,40,40,0.388889,14,0.25,10,0.25,10,36047002200,11220
22,2008,5,33,50,40,49,49,-0.175,-7,-0.326531,-16,-0.326531,-16,36047002200,11220
22,2009,0,53,53,38,43,43,0.394737,15,0.232558,10,0.232558,10,36047002200,11220
22,2009,1,42,53,40,48,48,0.05,2,-0.125,-6,-0.125,-6,36047002200,11220
22,2009,2,42,42,42,51,51,0,0,-0.176471,-9,-0.176471,-9,36047002200,11220
22,2009,3,41,42,40,39,39,0.025,1,0.051282,2,0.051282,2,36047002200,11220
22,2009,4,42,41,50,47,47,-0.16,-8,-0.106383,-5,-0.106383,-5,36047002200,11220
22,2009,5,52,42,33,36,36,0.575758,19,0.444444,16,0.444444,16,36047002200,11220
22,2010,0,49,49,53,31,31,-0.075472,-4,0.580645,18,0.580645,18,36047002200,11220
22,2010,1,54,49,42,42,42,0.285714,12,0.285714,12,0.285714,12,36047002200,11220
22,2010,2,43,54,42,46,46,0.02381,1,-0.065217,-3,-0.065217,-3,36047002200,11220
22,2010,3,47,43,41,49,49,0.146341,6,-0.040816,-2,-0.040816,-2,36047002200,11220
22,2010,4,44,47,42,36,36,0.047619,2,0.222222,8,0.222222,8,36047002200,11220
22,2010,5,43,44,52,40,40,-0.173077,-9,0.075,3,0.075,3,36047002200,11220
30,2001,0,16,16,16,16,16,0,0,0,0,0,0,36047003000,11220
30,2001,1,11,16,11,11,11,0,0,0,0,0,0,36047003000,11220
30,2001,2,15,11,15,15,15,0,0,0,0,0,0,36047003000,11220
30,2001,3,21,15,21,21,21,0,0,0,0,0,0,36047003000,11220
30,2001,4,17,21,17,17,17,0,0,0,0,0,0,36047003000,11220
30,2001,5,16,17,16,16,16,0,0,0,0,0,0,36047003000,11220
30,2002,0,13,13,16,13,13,-0.1875,-3,0,0,0,0,36047003000,11220
30,2002,1,16,13,11,16,16,0.454545,5,0,0,0,0,36047003000,11220
30,2002,2,12,16,15,12,12,-0.2,-3,0,0,0,0,36047003000,11220
30,2002,3,15,12,21,15,15,-0.285714,-6,0,0,0,0,36047003000,11220
30,2002,4,18,15,17,18,18,0.058824,1,0,0,0,0,36047003000,11220
30,2002,5,14,18,16,14,14,-0.125,-2,0,0,0,0,36047003000,11220
30,2003,0,12,12,13,12,12,-0.076923,-1,0,0,0,0,36047003000,11220
30,2003,1,12,12,16,12,12,-0.25,-4,0,0,0,0,36047003000,11220
30,2003,2,17,12,12,17,17,0.416667,5,0,0,0,0,36047003000,11220
30,2003,3,12,17,15,12,12,-0.2,-3,0,0,0,0,36047003000,11220
30,2003,4,14,12,18,14,14,-0.222222,-4,0,0,0,0,36047003000,11220
30,2003,5,16,14,14,16,16,0.142857,2,0,0,0,0,36047003000,11220
30,2004,0,17,17,12,16,16,0.416667,5,0.0625,1,0.0625,1,36047003000,11220
30,2004,1,15,17,12,11,11,0.25,3,0.363636,4,0.363636,4,36047003000,11220
