Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,1,0,0,2010,1027230.887,264553.9411,EDENWALD AVENUE,EDSON AVENUE
1,0,0,1,2013,995696.9814,238604.699,HUDSON RIVER GREENWAY,WEST 135 STREET
1,0,0,1,2009,943319.5057,134803.6894,HIGHLAND LANE,WALNUT AVENUE
1,1,0,0,2014,1013198.99,192549.1527,COOPER AVENUE,60 STREET
1,1,0,0,2009,1023214.681,203978.5491,WETHEROLE STREET,65 ROAD
1,1,0,0,2016,983700.0372,214628.1892,11 AVENUE,WEST 34 STREET
1,1,0,0,2010,934975.9991,135883.5856,ANNADALE ROAD,SHERIDAN PLACE
1,0,0,1,2009,961807.2995,149521.1433,NAUGHTON AVENUE,FR CAPODANNO BOULEVARD
1,0,0,1,2009,961788.9891,149534.0763,NAUGHTON AVENUE,FR CAPODANNO BOULEVARD
1,0,0,1,2009,961822.5918,149508.476,NAUGHTON AVENUE,FR CAPODANNO BOULEVARD
1,0,0,1,2010,981831.9077,204577.816,GREENWICH STREET,KING STREET
1,1,0,0,2010,1026933.375,205623.9064,66 AVENUE,110 STREET
1,0,0,1,2012,1012482.623,211133.5509,ROOSEVELT AVENUE,67 STREET
1,0,0,1,2013,976047.3264,172948.1984,BELT PARKWAY,BELT PARKWAY EXIT 1 EASTBOUND
1,0,0,1,2013,975923.0649,172983.4379,BELT PARKWAY,BELT PARKWAY EXIT 1 EASTBOUND
1,0,0,1,2013,976065.686,172928.2776,BELT PARKWAY,BELT PARKWAY EXIT 1 EASTBOUND
1,0,0,1,2013,976035.4531,172967.9261,BELT PARKWAY,BELT PARKWAY EXIT 1 EASTBOUND
1,0,0,1,2013,975908.5045,173001.2925,BELT PARKWAY,BELT PARKWAY EXIT 1 EASTBOUND
1,1,0,0,2016,1019802.858,249511.2615,BRONX RIVER PKWY SB EN BOSTON RD,BRONX RIVER PARKWAY
1,1,0,0,2016,1019834.108,249432.702,BRONX RIVER PKWY SB EN BOSTON RD,BRONX RIVER PARKWAY
1,0,0,1,2013,999519.6804,177155.6572,LINDEN BOULEVARD,EAST 35 STREET
1,0,0,1,2013,955208.2087,174393.7697,RICHMOND TERRACE,SNUG HARBOR ROAD
1,1,0,0,2016,1022410.1,208063.9967,98 STREET,57 AVENUE
1,0,0,1,2015,1030394.011,260131.4598,WRIGHT AVENUE,TILLOTSON AVENUE
1,0,0,1,2009,1036830.172,191546.7206,VAN WYCK EXPWY NB EN LIBERTY AVE,VAN WYCK EXPRESSWAY SR EAST
1,0,0,1,2011,1048890.827,161015.0504,WESTBOURNE AVENUE,TRIST PLACE
1,0,0,1,2011,1048886.49,161005.4441,WESTBOURNE AVENUE,TRIST PLACE
1,0,0,1,2011,1048895.778,161027.2288,WESTBOURNE AVENUE,TRIST PLACE
1,1,0,0,2013,994259.3468,215077.2205,1 AVENUE,EAST 55 STREET
1,0,0,1,2009,1003120.975,246211.1339,HIGH BRIDGE,HIGH BRIDGE GREENWAY
1,0,0,1,2010,1004066.318,207746.0773,38 STREET,HUNTERS POINT AVENUE
1,1,0,0,2010,961721.0172,167310.172,BOYD STREET,CEDAR STREET
1,0,0,1,2014,1003301.119,194885.9689,GEORGE STREET,CENTRAL AVENUE
1,1,0,0,2010,994749.4012,150432.2008,BRIGHTON 6 STREET,OCEAN VIEW AVENUE
1,1,0,0,2010,988912.3758,210540.4812,EAST 30 STREET,PARK AVENUE SOUTH
1,1,0,0,2010,988895.765,210549.5888,EAST 30 STREET,PARK AVENUE SOUTH
1,1,0,0,2010,988929.4165,210531.0357,EAST 30 STREET,PARK AVENUE SOUTH
1,0,0,1,2015,1020173.562,243859.9018,CROSS BRONX EP NB EN HARROD AV,CROSS BRONX EXPRESSWAY
1,0,0,1,2014,1048051.242,209121.9571,CLEARVIEW EXPRESSWAY,67 AVENUE FOOTBRIDGE
1,0,0,1,2014,1048078.41,209131.3042,CLEARVIEW EXPRESSWAY,67 AVENUE FOOTBRIDGE
1,0,0,1,2014,1048025.809,209112.7019,CLEARVIEW EXPRESSWAY,67 AVENUE FOOTBRIDGE
1,1,0,0,2014,1040516.228,209648.0453,BOOTH MEMORIAL AVENUE,FRESH MEADOW LANE
1,1,0,0,2009,1022342.869,213079.1539,104 STREET,38 AVENUE
1,0,0,1,2010,1007157.027,257162.6153,WEST 218 STREET,SEAMAN AVENUE
1,0,0,1,2010,924835.7212,139014.9835,BALSAM PLACE,HAMPTON PLACE
2,2,0,0,2009,1019088.286,201742.0247,81 STREET,JUNIPER BOULEVARD SOUTH
1,0,0,1,2013,999416.2029,179634.2481,BROOKLYN AVENUE,RUTLAND ROAD
1,1,0,0,2015,1018560.564,199642.0945,66 ROAD,77 PLACE
1,1,0,0,2015,1043226.147,226157.3588,LORI DRIVE,ESTATES LANE
3,0,0,3,2016,930922.6083,152945.2043,WILD AVENUE,WEST SHORE EXPRESSWAY SR EAST
1,1,0,0,2013,989695.6088,179877.9385,PROSPECT PARK WEST,16 STREET
1,1,0,0,2014,988524.414,195888.523,BRIDGE STREET,JOHN STREET
1,0,0,1,2012,1022248.831,188551.4576,77 STREET,ATLANTIC AVENUE
1,0,0,1,2012,1022366.668,188596.8578,77 STREET,ATLANTIC AVENUE
1,0,0,1,2012,1022245.087,188572.4516,77 STREET,ATLANTIC AVENUE
1,0,0,1,2012,1022377.19,188568.8985,77 STREET,ATLANTIC AVENUE
1,1,0,0,2016,1021111.04,249855.1585,BRADY AVENUE,CRUGER AVENUE
1,0,0,1,2009,1016007.206,184166.0431,WARWICK STREET,BELMONT AVENUE
1,0,0,1,2015,1050503.76,185201.317,THURSTON STREET,137 AVENUE
1,0,1,0,2011,999804.9781,247158.448,RIVERSIDE DRIVE,GEORGE WASHINGTON BRIDGE APPR
1,1,0,0,2010,1035023.188,224830.2387,149 STREET,17 ROAD
