CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2
22,2008,2,42,36047002200,11220,42,15731,2627,243,3083,520,42,40,43,45,-0.08695652,-0.04545455,-0.008634943,-0.06558693,0,0,0
22,2009,2,42,36047002200,11220,43,17855,2998,272,3581,623,42,42,41,45,0,-0.1764706,-0.06166525,-0.1180002,1,1,1
22,2010,2,43,36047002200,11220,0,19221,3501,280,3927,711,43,54,45,45,0.02380952,-0.06521739,-0.021049,-0.09571417,-43,0,-1
22,2001,3,50,36047002200,11220,54,16345,2697,302,3382,556,50,61,61,61,0,0,0,0,4,1,1
22,2002,3,54,36047002200,11220,53,16334,2857,312,3329,592,54,55,58,58,0.08,0,0.04,0,-1,0,-1
22,2003,3,53,36047002200,11220,49,16266,2826,301,3277,553,53,52,56,56,-0.01851852,0,0.02049383,0,-4,0,-1
22,2004,3,49,36047002200,11220,48,16081,2715,289,3191,544,49,53,53,55,-0.0754717,-0.02,-0.004663406,-0.006666667,-1,0,-1
22,2005,3,48,36047002200,11220,39,15892,2598,283,3148,519,48,44,49,53,-0.02040816,-0.1111111,-0.03813279,-0.0437037,-9,0,-1
22,2006,3,39,36047002200,11220,49,15737,2620,264,3167,529,39,51,49,51,-0.1875,-0.2641509,-0.09445995,-0.131754,10,1,1
22,2007,3,49,36047002200,11220,40,15258,2523,244,3034,527,49,46,47,49,0.2564103,0,0.01616736,-0.1250874,-9,0,-1
22,2008,3,40,36047002200,11220,41,15731,2639,243,3083,530,40,42,46,47,-0.1836735,-0.1666667,-0.0382544,-0.1436059,1,1,1
22,2009,3,41,36047002200,11220,47,17855,2812,272,3581,565,41,42,43,45,0.025,0.05128205,0.03257893,-0.03846154,6,1,1
22,2010,3,47,36047002200,11220,0,19221,3047,280,3927,671,47,43,42,44,0.1463415,-0.04081633,-0.004110669,-0.05206698,-47,0,-1
22,2001,4,47,36047002200,11220,51,16345,2524,302,3382,519,47,50,50,50,0,0,0,0,4,1,1
22,2002,4,51,36047002200,11220,54,16334,2631,312,3329,538,51,54,52,52,0.08510638,0,0.04255319,0,3,1,1
22,2003,4,54,36047002200,11220,52,16266,2771,301,3277,556,54,53,52,52,0.05882353,0,0.04797664,0,-2,0,-1
22,2004,4,52,36047002200,11220,40,16081,2740,289,3191,515,52,49,52,51,-0.03703704,0.106383,0.03563096,0.03546099,-12,0,-1
22,2005,4,40,36047002200,11220,47,15892,2638,283,3148,501,40,48,50,50,-0.2307692,-0.2156863,-0.06966091,-0.03643443,7,1,1
22,2006,4,47,36047002200,11220,36,15737,2542,264,3167,497,47,39,45,48,0.175,-0.1296296,-0.03093542,-0.07964431,-11,0,-1
22,2007,4,36,36047002200,11220,50,15258,2501,244,3034,490,36,49,45,47,-0.2340426,-0.3076923,-0.09660393,-0.2176694,14,1,1
22,2008,4,50,36047002200,11220,42,15731,2528,243,3083,540,50,40,42,45,0.3888889,0.25,0.1099488,-0.06244065,-8,0,-1
22,2009,4,42,36047002200,11220,44,17855,2848,272,3581,560,42,41,43,43,-0.16,-0.106383,-0.001717888,-0.05469176,2,1,1
22,2010,4,44,36047002200,11220,0,19221,2880,280,3927,571,44,47,42,43,0.04761905,0.2222222,0.09216931,0.1219464,-44,0,-1
22,2001,5,45,36047002200,11220,48,16345,2611,302,3382,519,45,47,47,47,0,0,0,0,3,1,1
22,2002,5,48,36047002200,11220,48,16334,2512,312,3329,488,48,51,49,49,0.06666667,0,0.03333333,0,0,0,0
22,2003,5,48,36047002200,11220,52,16266,2586,301,3277,509,48,54,50,50,0,0,0.02222222,0,4,1,1
22,2004,5,52,36047002200,11220,49,16081,2713,289,3191,521,52,52,52,51,0.08333333,0.1555556,0.05,0.05185185,-3,0,-1
22,2005,5,49,36047002200,11220,36,15892,2714,283,3148,496,49,40,48,48,-0.05769231,0.02083333,0.008547009,0.0587963,-13,0,-1
22,2006,5,36,36047002200,11220,40,15737,2617,264,3167,495,36,47,46,48,-0.2653061,-0.25,-0.07988837,-0.02453704,4,1,1
22,2007,5,40,36047002200,11220,33,15258,2491,244,3034,491,40,36,41,45,0.1111111,-0.2307692,-0.07062911,-0.153312,-7,0,-1
22,2008,5,33,36047002200,11220,52,15731,2511,243,3083,478,33,50,44,45,-0.175,-0.3265306,-0.1097317,-0.2690999,19,1,1
22,2009,5,52,36047002200,11220,43,17855,2738,272,3581,548,52,42,42,43,0.5757576,0.4444444,0.1706229,-0.03761847,-9,0,-1
22,2010,5,43,36047002200,11220,0,19221,2915,280,3927,577,43,44,45,43,-0.1730769,0.075,0.07589355,0.06430461,-43,0,-1
30,2001,0,16,36047003000,11220,13,16345,2702,96,3382,562,16,0,0,0,0,0,0,0,-3,0,-1
30,2002,0,13,36047003000,11220,12,16334,2613,88,3329,525,13,0,0,0,-0.1875,0,-0.09375,0,-1,0,-1
30,2003,0,12,36047003000,11220,17,16266,2546,83,3277,519,12,0,0,0,-0.07692308,0,-0.08814103,0,5,1,1
30,2004,0,17,36047003000,11220,9,16081,2606,86,3191,535,17,0,0,0,0.4166667,0.0625,0.05074786,0.02083333,-8,0,-1
30,2005,0,9,36047003000,11220,16,15892,2615,78,3148,537,9,0,0,0,-0.4705882,-0.3076923,-0.04361488,-0.08173077,7,1,1
30,2006,0,16,36047003000,11220,15,15737,2616,80,3167,529,16,0,0,0,0.7777778,0.3333333,0.2412854,0.02938034,-1,0,-1
30,2007,0,15,36047003000,11220,10,15258,2454,78,3034,446,15,0,0,0,-0.0625,-0.1176471,0.08156318,-0.03066868,-5,0,-1
30,2008,0,10,36047003000,11220,11,15731,2796,85,3083,498,10,0,0,0,-0.3333333,0.1111111,0.1273148,0.1089325,1,1,1
30,2009,0,11,36047003000,11220,16,17855,3070,85,3581,616,11,0,0,0,0.1,-0.3125,-0.09861111,-0.1063453,5,1,1
30,2010,0,16,36047003000,11220,0,19221,3560,79,3927,721,16,0,0,0,0.4545455,0.06666667,0.07373737,-0.04490741,-16,0,-1
30,2001,1,11,36047003000,11220,16,16345,2934,96,3382,624,11,16,16,16,0,0,0,0,5,1,1
30,2002,1,16,36047003000,11220,12,16334,2841,88,3329,587,16,13,14,14,0.4545455,0,0.2272727,0,-4,0,-1
30,2003,1,12,36047003000,11220,15,16266,2716,83,3277,552,12,12,13,13,-0.25,0,0.06818182,0,3,1,1
30,2004,1,15,36047003000,11220,16,16081,2667,86,3191,537,15,17,14,14,0.25,0.3636364,0.1515152,0.1212121,1,1,1
30,2005,1,16,36047003000,11220,4,15892,2676,78,3148,556,16,9,12,13,0.06666667,0,0.02222222,0.1212121,-12,0,-1
30,2006,1,4,36047003000,11220,17,15737,2707,80,3167,571,4,16,14,13,-0.75,-0.6666667,-0.1444444,-0.1010101,13,1,1
30,2007,1,17,36047003000,11220,17,15258,2639,78,3034,523,17,15,13,13,3.25,0.1333333,0.8555556,-0.1777778,0,0,0
30,2008,1,17,36047003000,11220,11,15731,2630,85,3083,517,17,10,13,13,0,0.0625,0.8333333,-0.1569444,-6,0,-1
30,2009,1,11,36047003000,11220,11,17855,3389,85,3581,669,11,11,12,12,-0.3529412,1.75,0.9656863,0.6486111,0,0,0
30,2010,1,11,36047003000,11220,0,19221,3318,79,3927,676,11,16,12,13,0,-0.3529412,-0.1176471,0.4865196,-11,0,-1
30,2001,2,15,36047003000,11220,12,16345,2877,96,3382,602,15,11,11,11,0,0,0,0,-3,0,-1
30,2002,2,12,36047003000,11220,17,16334,2880,88,3329,599,12,16,13,13,-0.2,0,-0.1,0,5,1,1
30,2003,2,17,36047003000,11220,13,16266,2821,83,3277,588,17,12,13,13,0.4166667,0,0.07222222,0,-4,0,-1
