"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,2000,2001,2002,2003,2004,2005,Percent-Increase-2004-2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 148,0,8.849557522,8.849557522,4.366812227,8.733624454,4.366812227,-0.5,0,-1,0,-,,-,4.524886878,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 150,0,0,5.434782609,0,0,0,-,0,-,0,-,5.405405405,-,,-1
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 156,0,0,0,0,0,0,-,0,-,0,-,8.695652174,-,,-1
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 158,21.47239264,0,0,0,3.095975232,0,-1,0,-,3.134796238,-,3.215434084,0.0257234728760065,3.215434084,0
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 160,2.369668246,18.16745656,14.21800948,7.898894155,10.2685624,5.485893417,-0.465758379478709,4.702,-0.142892571439836,11.7370892,1.49619081242025,12.46105919,0.0616822431578692,7.788161994,-0.374999999979937
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 162,0,17.72151899,20.25316456,5.050505051,5.050505051,2.136752137,-0.576923076915462,0,-1,2.525252525,-,,-1,9.638554217,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 164,0,0,0,0,0,0,-,0,-,0,-,,-,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 194,21.42857143,24.28571429,12.85714286,10,5.714285714,9.817671809,0.718092566660905,19.691,1.00566900005243,15.40616246,-0.217603856584226,20.80443828,0.350397176066129,20.80443828,0
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 196,3.036437247,32.38866397,21.25506073,36.62258393,21.36317396,16.14530777,-0.244245831624544,39.722,1.46028137498924,19.96007984,-0.497505668395348,17.31160896,-0.132688391090123,13.23828921,-0.235294117341246
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 198,0,14.24501425,0,0,22.79202279,2.865329513,-0.874283667605968,5.78,1.01721999992536,5.763688761,-0.0028220136678201,17.34104046,2.00867051970921,11.56069364,-0.333333333333333
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 200,28.16901408,0,0,0,19.60784314,0,-1,33.898,-,8.498583569,-0.749289528320255,31.16147309,2.66666666709811,28.3286119,-0.090909090909091
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 202,24.3902439,0,0,0,0,3.50877193,-,0,-1,3.571428571,-,10.67615658,1.98932384275872,,-1
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 204,0,4.219409283,0,0,8.403361345,0,-1,0,-,21.45922747,-,,-1,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 206,0,0,0,0,5.263157895,0,-1,29.024,-,2.610966057,-0.910041136404355,284.5953003,108.000000033321,15.66579634,-0.944954128464222
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 208,0,0,1.620745543,1.642036125,3.28407225,14.80263158,3.50740131554657,3.252,-0.780309333348956,1.597444089,-0.508781030442804,,-1,16,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 210,5.66893424,5.66893424,4.535147392,2.267573696,5.66893424,2.219755827,-0.60843507209214,21.111,8.51050549939608,4.509582864,-0.786387055847662,31.53153153,5.99211711613422,12.38738739,-0.607142857040918
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 212,7.470651014,1.067235859,17.07577375,13.81509033,22.31668438,7.150153218,-0.679605039160392,47.468,5.63873885674264,31.41361257,-0.338214953863656,10.30927835,-0.671821305905919,28.86597938,1.8
